pl_name,hostname,ra,dec,planet_mass_earth,planet_radius_earth,orbital_period_days,equilibrium_temp_k,discoverymethod,disc_year,stellar_type,distance_parsecs
HIP 65 A b,HIP 65 A,0.186,-54.831,1021.188,22.754,0.98,1411,Transit,2020,K4 V,61.79
WASP-136 b,WASP-136,0.326,-8.926,479.923,15.468,5.22,1742,Transit,2016,,275.59
KELT-1 b,KELT-1,0.362,39.384,8654.150,12.442,1.22,2233,Transit,2012,,268.43
HATS-34 b,HATS-34,0.774,-62.469,299.078,16.029,2.11,1445,Transit,2016,,508.84
WASP-96 b,WASP-96,1.047,-47.361,152.550,13.450,3.43,1285,Transit,2014,G8,352.46
HD 142 A d,HD 142,1.584,-49.075,82.635,10.900,108.45,,Radial Velocity,2022,F7V,26.19
HD 142 b,HD 142,1.584,-49.075,2256.582,12.700,351.43,,Radial Velocity,2001,G1 IV,26.19
HD 142 c,HD 142,1.584,-49.075,3464.647,12.400,10159.64,,Radial Velocity,2012,F7V,26.19
GJ 1002 b,GJ 1002,1.676,-7.546,1.080,1.030,10.35,231,Radial Velocity,2022,M5.5 V,4.85
GJ 1002 c,GJ 1002,1.676,-7.546,1.360,1.100,21.20,182,Radial Velocity,2022,M5.5 V,4.85
HD 360 b,HD 360,2.073,-8.824,238.371,14.000,273.10,,Radial Velocity,2021,G8 III,111.54
HD 457 b,HD 457,2.249,-39.737,8445.336,11.900,20324.58,,Radial Velocity,2022,,55.04
TOI-198 b,TOI-198,2.272,-27.122,2.670,1.440,10.22,368,Transit,2023,M0 V,23.73
HD 564 b,HD 564,2.469,-50.268,104.880,12.500,492.30,,Radial Velocity,2014,G2/G3 V,51.17
HIP 948 b,HIP 948,2.928,-39.230,6547.265,12.100,24955.46,,Radial Velocity,2022,,34.85
WASP-44 b,WASP-44,3.903,-11.938,276.512,12.330,2.42,1337,Transit,2011,G8 V,364.51
Gliese 12 b,Gliese 12,3.958,13.558,3.870,0.958,12.76,315,Transit,2024,M3.0 V,12.21
WASP-32 b,WASP-32,3.962,1.201,835.893,10.761,2.72,1388,Transit,2010,,275.99
GJ 3021 b,GJ 3021,4.063,-79.851,1071.040,13.100,133.71,350,Radial Velocity,2000,G6 V,17.56
WASP-158 b,WASP-158,4.146,-10.976,886.746,11.994,3.66,1590,Transit,2018,F6 V,524.99
HD 1397 b,HD 1397,4.447,-66.359,131.899,11.500,11.54,1228,Transit,2018,G5 III/IV,79.57
WASP-26 b,WASP-26,4.603,-15.267,270.156,13.563,2.76,1650,Transit,2010,,252.76
GJ 15 A b,GJ 15 A,4.613,44.025,3.030,1.550,11.44,550,Radial Velocity,2014,M1,3.56
GJ 15 A c,GJ 15 A,4.613,44.025,36.000,6.670,7600.00,,Radial Velocity,2018,M1,3.56
HD 1461 b,HD 1461,4.676,-8.054,6.440,2.420,5.77,,Radial Velocity,2010,G0 V,23.45
HD 1461 c,HD 1461,4.676,-8.054,5.590,2.230,13.51,,Radial Velocity,2015,G0 V,23.45
TOI-260 b,TOI-260,4.773,-9.966,4.230,1.710,13.48,493,Transit,2024,K8 V,20.19
HD 1502 b,HD 1502,4.821,14.055,874.032,13.200,428.50,,Radial Velocity,2011,K0,190.95
Qatar-4 b,Qatar-4,4.859,44.028,1938.763,12.722,1.81,1385,Transit,2017,K1 V,329.04
HD 1605 b,HD 1605,5.132,30.975,296.853,13.800,577.20,,Radial Velocity,2015,K1 IV,88.81
HD 1605 c,HD 1605,5.132,30.975,1150.545,13.000,2149.00,,Radial Velocity,2015,K1 IV,88.81
WASP-20 b,WASP-20,5.161,-23.936,98.841,16.388,4.90,1379,Transit,2015,F9,211.88
WASP-1 b,WASP-1,5.167,31.990,271.415,16.623,2.52,1812,Transit,2007,F7 V,393.07
HD 1666 b,HD 1666,5.218,-19.931,2040.000,12.700,270.00,,Radial Velocity,2015,F7 V,117.91
WASP-45 b,WASP-45,5.238,-35.998,306.388,10.604,3.13,1153,Transit,2011,K2 V,211.20
UCAC3 113-933 b,UCAC3 113-933,5.276,-33.803,6674.397,12.100,,,Imaging,2024,M0,52.58
HD 1690 b,HD 1690,5.306,-8.281,2793.726,12.500,533.00,,Radial Velocity,2010,K1 III,752.62
HATS-30 b,HATS-30,5.619,-59.943,224.388,13.171,3.17,1414,Transit,2016,G,342.14
HD 2039 b,HD 2039,6.085,-56.650,1999.151,12.700,1120.00,,Radial Velocity,2002,G2/G3 IV/V,85.69
HATS-49 b,HATS-49,6.614,-56.344,112.194,8.575,4.15,835,Transit,2020,,324.41
HATS-46 b,HATS-46,6.703,-56.316,54.985,10.122,4.74,1054,Transit,2018,,453.81
Qatar-5 b,Qatar-5,7.054,42.061,1373.026,12.408,2.88,1415,Transit,2017,G2 V,367.66
BD-17 63 b,BD-17 63,7.141,-16.227,1639.995,12.800,655.57,,Radial Velocity,2008,K5 V,34.46
TOI-178 b,TOI-178,7.302,-30.454,1.500,1.152,1.92,1040,Transit,2021,K,62.70
TOI-178 c,TOI-178,7.302,-30.454,4.770,1.669,3.24,873,Transit,2021,K,62.70
TOI-178 d,TOI-178,7.302,-30.454,3.010,2.572,6.56,690,Transit,2021,K,62.70
TOI-178 e,TOI-178,7.302,-30.454,3.860,2.207,9.96,600,Transit,2021,K,62.70
TOI-178 f,TOI-178,7.302,-30.454,7.720,2.287,15.23,521,Transit,2021,K,62.70
TOI-178 g,TOI-178,7.302,-30.454,3.940,2.870,20.71,470,Transit,2021,K,62.70
HD 2685 b,HD 2685,7.329,-76.304,371.861,16.141,4.13,2061,Transit,2019,,196.85
HD 2638 b,HD 2638,7.499,-5.765,133.489,14.300,3.44,,Radial Velocity,2005,K1 V,54.96
WASP-190 b,WASP-190,7.710,-40.573,317.830,12.890,5.37,1500,Transit,2019,F6 IV-V,542.25
HD 2952 b,HD 2952,8.294,54.895,284.774,13.900,312.08,,Radial Velocity,2013,K0 III,110.10
TOI-6029 b,TOI-6029,8.386,61.861,519.649,14.392,5.80,1484,Transit,2024,,603.12
HD 3167 b,HD 3167,8.740,4.381,4.970,1.670,0.96,1774,Transit,2016,K0 V,47.29
HD 3167 c,HD 3167,8.740,4.381,11.130,3.000,29.85,564,Transit,2016,K0 V,47.29
HD 3167 d,HD 3167,8.740,4.381,4.330,1.920,8.41,860,Radial Velocity,2017,K0 V,47.29
HD 3167 e,HD 3167,8.740,4.381,8.410,2.830,96.63,375,Radial Velocity,2022,K0 V,47.29
TOI-2406 b,TOI-2406,8.806,-3.372,15.600,2.860,3.08,449,Transit,2021,,55.42
WASP-93 b,WASP-93,9.459,51.289,467.210,17.901,2.73,1942,Transit,2016,F4,370.28
HAT-P-19 b,HAT-P-19,9.517,34.711,88.038,11.299,4.01,981,Transit,2010,K1,202.08
HAT-P-16 b,HAT-P-16,9.573,42.463,1332.605,14.448,2.78,1626,Transit,2010,F8,226.64
K2-149 b,K2-149,9.822,7.277,3.330,1.640,11.33,,Transit,2018,M1.0 V,123.68
HD 3651 b,HD 3651,9.839,21.249,72.465,10.100,62.25,,Radial Velocity,2003,K0 V,11.13
GJ 27.1 b,GJ 27.1,9.998,-44.254,13.000,3.660,15.82,,Radial Velocity,2014,M0.5 V,23.61
TOI-1470 b,TOI-1470,10.089,61.213,7.320,2.180,2.53,734,Transit,2023,M1.5 V,51.95
TOI-1470 c,TOI-1470,10.089,61.213,7.240,2.470,18.09,373,Transit,2023,M1.5 V,51.95
HD 3765 b,HD 3765,10.207,40.184,54.984,8.560,1211.00,,Radial Velocity,2021,K2V,17.93
TOI-244 b,TOI-244,10.570,-36.718,2.680,1.520,7.40,458,Transit,2023,M2.5 V,22.03
HD 4113 b,HD 4113,10.803,-37.983,541.262,13.500,526.52,,Radial Velocity,2007,G5,41.87
L 363-38 b,L 363-38,10.856,-41.295,4.670,2.000,8.78,330,Radial Velocity,2023,,10.23
HD 4208 b,HD 4208,11.113,-26.515,257.442,13.900,832.97,,Radial Velocity,2001,G7 V Fe-1 CH-0.5,34.19
HD 4308 b,HD 4308,11.165,-65.653,15.892,4.120,15.56,,Radial Velocity,2005,G5V,22.02
HD 4203 b,HD 4203,11.172,20.448,708.761,13.300,431.88,,Radial Velocity,2001,G5,81.38
HD 4203 c,HD 4203,11.172,20.448,689.660,13.300,6700.00,,Radial Velocity,2014,G5,81.38
LHS 1140 b,LHS 1140,11.249,-15.274,5.600,1.730,24.74,226,Transit,2017,M4.5 V,14.99
LHS 1140 c,LHS 1140,11.249,-15.274,1.910,1.272,3.78,422,Transit,2018,M4.5 V,14.99
K2-206 b,K2-206,11.256,0.593,8.220,2.795,18.30,,Transit,2018,,244.44
K2-217 b,K2-217,11.298,6.482,12.500,3.579,14.08,,Transit,2018,,381.88
HD 4313 b,HD 4313,11.418,7.845,612.458,13.400,356.21,,Radial Velocity,2009,G5,136.31
K2-216 b,K2-216,11.480,6.347,8.000,1.750,2.18,1103,Transit,2018,K5 V,115.46
K2-207 b,K2-207,11.700,0.641,7.300,2.606,12.49,,Transit,2018,,363.06
HD 4732 b,HD 4732,12.309,-24.137,631.207,13.400,371.74,,Radial Velocity,2012,K0 IV,54.78
HD 4732 c,HD 4732,12.309,-24.137,1069.493,13.100,3184.20,,Radial Velocity,2012,K0 IV,54.78
HD 4760 b,HD 4760,12.416,6.407,4417.837,12.300,434.00,,Radial Velocity,2021,K2,537.87
HD 5278 b,HD 5278,12.547,-83.744,7.800,2.450,14.34,943,Transit,2021,F V,57.59
HD 5278 c,HD 5278,12.547,-83.744,18.400,4.490,40.87,,Radial Velocity,2021,F V,57.59
K2-385 b,K2-385,12.614,5.871,2.980,1.539,2.38,,Transit,2022,,420.82
K2-220 b,K2-220,12.770,9.517,6.300,2.390,13.68,758,Transit,2018,,233.51
K2-203 b,K2-203,12.774,-1.196,2.140,1.265,9.70,738,Transit,2018,,166.15
HD 4917 b,HD 4917,12.776,-12.928,513.295,13.500,400.50,,Radial Velocity,2018,K0 III/IV,204.28
K2-218 b,K2-218,12.810,6.846,7.130,2.569,8.68,,Transit,2018,,394.08
TOI-4638.01,TOI-4638,12.821,12.788,8.920,2.933,10.28,780,Transit,2024,,168.25
K2-219 b,K2-219,12.845,8.868,2.380,1.348,3.90,,Transit,2018,,325.40
K2-219 c,K2-219,12.845,8.868,2.660,1.438,6.67,,Transit,2018,,325.40
K2-219 d,K2-219,12.845,8.868,7.160,2.576,11.14,,Transit,2018,,325.40
TYC 3667-1280-1 b,TYC 3667-1280-1,12.888,58.426,1716.282,12.800,26.47,1350,Radial Velocity,2016,,477.52
TOI-5301 b,TOI-5301,12.991,13.078,1182.322,13.092,5.86,1648,Transit,2024,,629.16
HAT-P-28 b,HAT-P-28,13.001,34.728,198.953,13.585,3.26,1384,Transit,2011,G3,401.32
EPIC 220674823 b,EPIC 220674823,13.080,10.795,8.210,1.725,0.57,2300,Transit,2016,G5 V,244.59
EPIC 220674823 c,EPIC 220674823,13.080,10.795,8.900,2.836,13.34,805,Transit,2016,G5 V,244.59
K2-213 b,K2-213,13.140,3.508,2.900,1.514,8.13,,Transit,2018,,389.70
K2-283 b,K2-283,13.194,9.693,12.200,3.520,1.92,1186,Transit,2018,,402.92
EPIC 220554210 c,K2-282,13.432,7.995,3.190,1.600,0.71,,Transit,2019,,496.29
K2-282 b,K2-282,13.432,7.995,6.800,2.500,4.17,1057,Transit,2018,,496.29
HD 5319 b,HD 5319,13.756,0.789,494.543,13.500,637.10,,Radial Velocity,2007,G5,121.41
HD 5319 c,HD 5319,13.756,0.789,334.675,13.800,872.20,,Radial Velocity,2014,G5,121.41
TOI-1472 b,TOI-1472,14.114,48.638,16.500,4.160,6.36,811,Transit,2024,,121.84
HD 5583 b,HD 5583,14.487,34.985,1837.057,12.800,139.35,,Radial Velocity,2016,,219.22
K2-148 b,K2-148,14.518,-0.193,2.330,1.330,4.38,,Transit,2018,,124.46
K2-148 c,K2-148,14.518,-0.193,3.640,1.730,6.92,,Transit,2018,,124.46
K2-148 d,K2-148,14.518,-0.193,3.330,1.640,9.76,,Transit,2018,,124.46
HD 5608 b,HD 5608,14.559,33.951,371.224,13.700,768.70,,Radial Velocity,2012,K0 IV,58.11
K2-209 b,K2-209,14.690,1.383,0.586,0.869,2.08,,Transit,2018,,76.50
TOI-2420 b,TOI-2420,14.827,-19.771,294.627,15.020,5.84,1572,Transit,2024,,435.17
K2-214 b,K2-214,14.876,4.228,6.480,2.430,8.60,1006,Transit,2018,,300.64
HATS-68 b,HATS-68,15.006,-58.905,410.001,13.809,3.59,1741,Transit,2018,,603.96
HD 5891 b,HD 5891,15.138,20.292,2425.043,12.600,177.11,,Radial Velocity,2011,G5,283.50
TOI-261.01,TOI-261,15.218,-24.424,9.510,3.045,3.36,1722,Transit,2024,,114.50
K2-205 b,K2-205,15.218,0.426,4.640,1.996,26.67,,Transit,2018,,405.30
HATS-71 b,HATS-71,15.552,-61.756,117.597,11.478,3.80,587,Transit,2020,M3 V,140.23
HIP 4845 b,HIP 4845,15.588,-10.425,14.400,3.890,34.15,,Radial Velocity,2020,K7V,21.10
HD 6061 b,HD 6061,15.598,37.185,10.000,2.428,5.26,1075,Transit,2023,,67.62
TOI-3693 b,TOI-3693,15.654,51.304,324.185,12.599,9.09,801,Transit,2022,,176.44
Gl 49 b,Gl 49,15.669,62.345,5.630,2.240,13.85,,Radial Velocity,2019,M1.5 V,9.85
TOI-6651 b,TOI-6651,15.789,35.389,61.000,5.090,5.06,1493,Transit,2024,,212.13
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,15.899,-55.266,4131.790,12.300,,,Imaging,2013,M5.5/M6,47.20
HD 6434 b,HD 6434,16.166,-39.490,155.737,14.200,22.00,,Radial Velocity,2003,G2/3 V,42.36
TOI-2046 b,TOI-2046,16.185,74.331,731.005,16.141,1.50,1829,Transit,2022,F8 V,289.67
K2-281 b,K2-281,16.227,7.269,50.900,8.180,8.69,665,Transit,2018,,458.14
K2-222 b,K2-222,16.463,11.754,8.700,2.350,15.39,871,Transit,2018,,101.32
HIP 5158 b,HIP 5158,16.509,-22.454,451.000,13.600,345.72,,Radial Velocity,2009,,51.60
HIP 5158 c,HIP 5158,16.509,-22.454,4780.163,12.200,9017.76,,Radial Velocity,2011,,51.60
TOI-1468 b,TOI-1468,16.654,19.225,3.210,1.280,1.88,682,Transit,2022,M3.0 V,24.74
TOI-1468 c,TOI-1468,16.654,19.225,6.640,2.064,15.53,338,Transit,2022,M3.0 V,24.74
K2-221 b,K2-221,16.655,10.190,3.460,1.679,2.40,,Transit,2018,,318.81
EPIC 220492298 b,EPIC 220492298,16.762,6.589,0.937,0.990,0.76,,Transit,2021,,624.51
TOI-169 b,TOI-169,16.779,-75.199,251.404,12.173,2.26,1715,Transit,2020,G1 V,407.84
HD 6718 b,HD 6718,16.954,-8.234,533.954,13.500,2496.00,,Radial Velocity,2009,G5 V,51.34
K2-204 b,K2-204,17.383,-0.518,10.200,3.172,7.06,1148,Transit,2018,,577.24
HD 6860 b,HD 6860,17.433,35.620,8981.831,11.900,663.87,,Radial Velocity,2023,M0 III,61.13
WASP-187 b,WASP-187,17.475,25.682,254.264,18.383,5.15,1760,Transit,2020,F,371.41
K2-210 b,K2-210,17.641,1.578,0.566,0.860,0.57,,Transit,2018,,176.51
HD 7199 b,HD 7199,17.698,-66.189,85.814,11.100,615.00,,Radial Velocity,2011,K1 IV,36.15
TOI-4406 b,TOI-4406,18.049,-56.925,95.349,11.209,30.08,904,Transit,2023,,261.83
YZ Cet b,YZ Cet,18.133,-16.996,0.700,0.913,2.02,471,Radial Velocity,2017,M4.5 V,3.71
YZ Cet c,YZ Cet,18.133,-16.996,1.140,1.050,3.06,410,Radial Velocity,2017,M4.5 V,3.71
YZ Cet d,YZ Cet,18.133,-16.996,1.090,1.030,4.66,357,Radial Velocity,2017,M4.5 V,3.71
GU Psc b,GU Psc,18.146,17.065,3591.300,14.179,,1050,Imaging,2014,M3,47.55
K2-386 b,K2-386,18.300,7.013,5.990,2.320,7.47,,Transit,2022,,428.79
K2-150 b,K2-150,18.344,8.987,4.660,2.000,10.59,,Transit,2018,M2.5 V,102.48
K2-212 b,K2-212,18.424,3.097,7.510,2.650,9.80,542,Transit,2018,,109.22
K2-215 b,K2-215,18.470,6.124,5.160,2.124,8.27,,Transit,2018,,403.96
HIP 5763 b,HIP 5763,18.495,16.494,162.092,14.200,30.01,,Radial Velocity,2021,K6 V,31.90
HD 7449 b,HD 7449,18.621,-5.048,2597.929,12.600,1270.55,,Radial Velocity,2011,F9.5 V,38.66
GJ 3082 b,GJ 3082,18.643,-53.941,8.200,2.790,11.95,,Radial Velocity,2020,M4,16.62
WASP-186 b,WASP-186,18.995,21.617,1341.243,12.442,5.03,1378,Transit,2020,,278.51
TOI-277 b,TOI-277,19.077,-20.953,7.510,2.650,3.99,588,Transit,2022,,64.67
TOI-1467 b,TOI-1467,19.115,49.233,9.000,1.920,5.97,506,Transit,2024,,37.44
K2-151 b,K2-151,19.305,9.501,2.830,1.490,3.84,566,Transit,2018,M1.5 V,69.48
K2-387 b,K2-387,19.442,11.368,42.200,7.322,28.74,,Transit,2022,,266.32
K2-113 b,K2-113,19.449,6.869,410.001,12.140,5.82,1098,Transit,2017,G,635.72
TOI-4527.01,TOI-4527,19.472,5.471,0.689,0.909,0.40,1363,Transit,2024,M2V:,18.10
WASP-118 b,WASP-118,19.551,2.703,163.365,16.141,4.05,1729,Transit,2016,F6,376.66
K2-295 b,K2-295,19.610,6.817,106.473,10.054,4.03,852,Transit,2018,K5 V,232.80
TOI-2236 b,TOI-2236,20.166,-86.980,502.169,14.370,3.53,1688,Transit,2022,,355.59
TOI-4010 b,TOI-4010,20.215,66.072,11.000,3.020,1.35,1441,Transit,2023,K V,177.50
TOI-4010 c,TOI-4010,20.215,66.072,20.310,5.930,5.42,907,Transit,2023,K V,177.50
TOI-4010 d,TOI-4010,20.215,66.072,38.150,6.180,14.71,650,Transit,2023,K V,177.50
TOI-4010 e,TOI-4010,20.215,66.072,692.000,13.300,762.00,174,Radial Velocity,2023,K V,177.50
GJ 3090 b,GJ 3090,20.438,-46.715,3.340,2.130,2.85,693,Transit,2022,M2 V,22.48
HD 7924 b,HD 7924,20.496,76.710,6.357,2.400,5.40,826,Radial Velocity,2008,K0.5 V,16.99
HD 7924 c,HD 7924,20.496,76.710,7.860,2.720,15.30,584,Radial Velocity,2015,K0.5 V,16.99
HD 7924 d,HD 7924,20.496,76.710,6.440,2.420,24.45,499,Radial Velocity,2015,K0.5 V,16.99
K2-384 b,K2-384,20.500,0.751,1.260,1.076,2.23,,Transit,2022,M4 V,82.66
K2-384 c,K2-384,20.500,0.751,1.820,1.191,4.20,,Transit,2022,M4 V,82.66
K2-384 d,K2-384,20.500,0.751,2.520,1.392,6.68,,Transit,2022,M4 V,82.66
K2-384 e,K2-384,20.500,0.751,2.370,1.345,9.72,,Transit,2022,M4 V,82.66
K2-384 f,K2-384,20.500,0.751,5.570,2.222,13.63,,Transit,2022,M4 V,82.66
HD 8326 b,HD 8326,20.531,-26.894,66.600,9.580,158.99,,Radial Velocity,2019,K2 V,30.69
2MASS J01225093-2439505 b,2MASS J01225093-2439505,20.713,-24.665,7786.500,11.209,,1600,Imaging,2013,M3.5 V,33.83
K2-208 b,K2-208,20.779,0.889,3.450,1.675,4.19,1122,Transit,2018,,256.89
HD 8535 b,HD 8535,20.905,-41.270,216.124,14.000,1313.00,,Radial Velocity,2010,G0 V,55.44
TOI-2411 b,TOI-2411,20.922,-8.702,3.460,1.680,0.78,1355,Transit,2022,,59.54
HAT-P-51 b,HAT-P-51,21.065,32.811,97.573,13.507,4.22,1168,Transit,2015,G7,440.09
K2-211 b,K2-211,21.106,1.705,2.330,1.332,0.67,1873,Transit,2018,,272.30
TOI-4515 b,TOI-4515,21.186,21.513,637.000,12.170,15.27,705,Transit,2024,G8/G9,193.50
HD 8574 b,HD 8574,21.303,28.566,645.195,13.400,227.00,,Radial Velocity,2002,F8,44.83
HD 8673 b,HD 8673,21.538,34.579,4210.591,12.300,1644.69,,Radial Velocity,2009,F5,37.86
HAT-P-53 b,HAT-P-53,21.871,38.968,471.660,14.773,1.96,1778,Transit,2015,,666.80
TOI-1695 b,TOI-1695,21.922,72.297,6.360,1.900,3.13,698,Transit,2022,M1 V,45.13
TIC 237913194 b,TIC 237913194,22.446,-60.740,617.226,12.520,15.17,974,Transit,2020,G3,306.06
HD 9174 b,HD 9174,22.504,-19.605,352.791,13.700,1179.00,,Radial Velocity,2016,G8 IV,81.49
HD 9446 b,HD 9446,23.335,29.265,222.472,14.000,30.05,,Radial Velocity,2009,G5 V,50.35
HD 9446 c,HD 9446,23.335,29.265,578.426,13.400,192.90,,Radial Velocity,2009,G5 V,50.35
TOI-2120 b,TOI-2120,23.507,65.514,6.800,2.122,5.80,384,Transit,2024,,32.18
NGTS-11 b,NGTS-11,23.521,-14.419,109.334,9.158,35.46,435,Transit,2020,K,190.42
TOI-125 b,TOI-125,23.593,-66.676,9.500,2.726,4.65,1037,Transit,2019,K0 V,111.06
TOI-125 c,TOI-125,23.593,-66.676,6.630,2.759,9.15,828,Transit,2019,K0 V,111.06
TOI-125 d,TOI-125,23.593,-66.676,13.600,2.930,19.98,638,Transit,2020,K0 V,111.06
BD+55 362 b,BD+55 362,23.964,56.698,228.836,14.000,265.59,,Radial Velocity,2021,K3,52.57
WASP-105 b,WASP-105,24.168,-50.659,572.094,10.761,7.87,900,Transit,2017,K2,169.27
ups And b,ups And,24.198,41.404,218.531,14.000,4.62,,Radial Velocity,1996,F8 V,13.41
ups And c,ups And,24.198,41.404,4443.241,12.300,241.26,,Radial Velocity,1999,F8 V,13.41
ups And d,ups And,24.198,41.404,3257.741,12.500,1276.46,,Radial Velocity,1999,F8 V,13.41
HS Psc b,HS Psc,24.347,26.953,464.029,13.600,3.99,,Radial Velocity,2024,K7 V,37.66
WASP-18 b,WASP-18,24.354,-45.678,3241.850,13.899,0.94,2429,Transit,2009,F6 IV-V,123.48
WASP-18 c,WASP-18,24.354,-45.678,55.200,8.580,2.16,,Transit Timing Variations,2019,F6 IV-V,123.48
HD 10180 c,HD 10180,24.473,-60.511,13.100,3.680,5.76,,Radial Velocity,2010,G1 V,38.96
HD 10180 d,HD 10180,24.473,-60.511,11.750,3.450,16.36,,Radial Velocity,2010,G1 V,38.96
HD 10180 e,HD 10180,24.473,-60.511,25.100,5.390,49.75,,Radial Velocity,2010,G1 V,38.96
HD 10180 f,HD 10180,24.473,-60.511,23.900,5.240,122.74,,Radial Velocity,2010,G1 V,38.96
HD 10180 g,HD 10180,24.473,-60.511,21.400,4.910,604.67,,Radial Velocity,2010,G1 V,38.96
HD 10180 h,HD 10180,24.473,-60.511,64.400,9.400,2205.00,,Radial Velocity,2010,G1 V,38.96
WASP-97 b,WASP-97,24.605,-55.772,432.249,12.778,2.07,1555,Transit,2014,G5,151.07
HD 10442 b,HD 10442,25.472,2.704,472.613,13.600,1032.30,,Radial Velocity,2014,K0 IV,135.37
HD 10647 b,HD 10647,25.623,-53.741,298.750,13.800,989.20,,Radial Velocity,2006,F9 V,17.34
BD+20 274 b,BD+20 274,25.920,21.005,1334.886,13.000,578.20,,Radial Velocity,2012,K5 III,1322.51
tau Cet e,tau Cet,26.009,-15.934,3.930,1.810,162.87,,Radial Velocity,2017,G8.5V,3.60
tau Cet f,tau Cet,26.009,-15.934,3.930,1.810,636.13,,Radial Velocity,2017,G8.5V,3.60
tau Cet g,tau Cet,26.009,-15.934,1.750,1.180,20.00,,Radial Velocity,2017,G8.5V,3.60
tau Cet h,tau Cet,26.009,-15.934,1.830,1.190,49.41,,Radial Velocity,2017,G8.5V,3.60
HIP 8152 b,HIP 8152,26.209,-18.401,8.900,2.536,10.75,795,Transit,2023,,101.69
HIP 8152 c,HIP 8152,26.209,-18.401,10.700,2.524,19.61,651,Transit,2023,,101.69
HD 10697 b,HD 10697,26.232,20.083,1825.289,12.800,1075.38,,Radial Velocity,1999,G3 V,33.12
TOI-2152 A b,TOI-2152,26.339,77.790,899.454,14.359,3.38,1802,Transit,2023,F4 V,303.01
WASP-76 b,WASP-76,26.633,2.700,284.139,20.781,1.81,2228,Transit,2016,F7,194.46
WASP-181 b,WASP-181,26.793,3.133,95.031,13.271,4.52,1186,Transit,2019,G2,437.50
HD 11112 b,HD 11112,27.088,-41.494,2598.565,12.600,17244.91,,Radial Velocity,2022,,44.38
HD 10975 b,HD 10975,27.163,37.953,143.023,14.300,283.80,,Radial Velocity,2021,K0 III,116.51
DMPP-2 b,DMPP-2,27.408,-34.459,138.892,14.300,5.21,1000,Radial Velocity,2019,F5 V,137.94
HD 11343 c,HIP 8541,27.527,-54.465,255.534,13.900,228.54,,Radial Velocity,2022,K2 III/ IV,155.12
HIP 8541 b,HIP 8541,27.527,-54.465,2451.728,12.600,1852.14,,Radial Velocity,2016,K2 III/ IV,155.12
HD 11506 b,HD 11506,28.211,-19.507,1551.003,12.900,1617.70,,Radial Velocity,2007,G0 V,51.26
HD 11506 c,HD 11506,28.211,-19.507,127.131,14.000,223.92,,Radial Velocity,2008,G0 V,51.26
HD 11506 d,HD 11506,28.211,-19.507,4068.204,12.300,26500.00,,Radial Velocity,2022,G0 V,51.26
HD 11505 b,HD 11505,28.275,-1.328,2510.527,12.600,32669.22,,Radial Velocity,2022,,38.97
HAT-P-60 b,HAT-P-60,28.283,52.054,182.434,18.282,4.80,1772,Transit,2021,,233.22
TOI-849 b,TOI-849,28.716,-29.422,41.800,3.640,0.77,1932,Transit,2020,G,225.73
HD 11977 b,HD 11977,28.735,-67.647,2080.000,12.700,711.00,,Radial Velocity,2005,G8 III/IV,67.93
WASP-71 b,WASP-71,29.263,0.759,441.784,13.227,2.90,2049,Transit,2012,F8,362.72
HD 11964 b,HD 11964,29.288,-10.243,198.000,14.100,1945.00,,Radial Velocity,2005,G9 V CN+1,33.54
HD 11964 c,HD 11964,29.288,-10.243,25.000,5.380,37.91,,Radial Velocity,2008,G9 V CN+1,33.54
HD 11755 b,HD 11755,29.708,73.152,1789.383,12.800,433.70,,Radial Velocity,2015,G5,235.05
HD 12235 b,HD 12235,30.039,3.096,10.488,3.230,4.36,,Radial Velocity,2022,,31.76
HD 12235 c,HD 12235,30.039,3.096,3135.695,12.500,36336.71,,Radial Velocity,2022,,31.76
GJ 9066 c,GJ 9066,30.059,13.044,66.744,9.600,771.36,,Radial Velocity,2020,M5.0 V,4.47
HD 12484 b,HD 12484,30.612,2.816,947.133,13.200,58.83,,Radial Velocity,2016,F8,48.34
HIP 9618 b,HIP 9618,30.905,21.281,8.300,3.828,20.77,641,Transit,2023,,67.55
HIP 9618 c,HIP 9618,30.905,21.281,7.000,3.429,52.56,470,Transit,2023,,67.55
HAT-P-32 b,HAT-P-32,31.043,46.688,216.124,22.194,2.15,1836,Transit,2011,,289.21
HD 12661 b,HD 12661,31.142,25.414,772.327,13.300,262.71,,Radial Velocity,2000,K0,37.85
HD 12661 c,HD 12661,31.142,25.414,575.884,13.400,1708.00,,Radial Velocity,2002,K0,37.85
alf Ari b,alf Ari,31.793,23.462,572.070,13.400,380.80,,Radial Velocity,2010,K2III,20.21
WASP-53 b,WASP-53,31.909,-20.662,677.614,12.038,3.31,1053,Transit,2017,,201.34
WASP-53 c,WASP-53,31.909,-20.662,5196.520,,2840.00,,Radial Velocity,2017,,201.34
HD 13167 b,HD 13167,32.058,-24.696,1052.017,13.100,2613.00,,Radial Velocity,2018,G3 V,148.93
GJ 3138 b,GJ 3138,32.298,-16.339,1.780,1.180,1.22,,Radial Velocity,2017,M0,28.47
GJ 3138 c,GJ 3138,32.298,-16.339,4.180,1.880,5.97,,Radial Velocity,2017,M0,28.47
GJ 3138 d,GJ 3138,32.298,-16.339,10.500,3.230,257.80,,Radial Velocity,2017,M0,28.47
